,Review Title,Total Review,Preprocessed Reviews,sentiment
10," Venice 76 review
","I have just watched the Joker in Venice and I will say if Joaquin doesn't get an Oscar this year then something is wrong with this world. This perfomance is just jaw-dropping, it glues you to the screen and doesn't let go till the end. Story is very good and has some interesting connections with Batman lore(especially one you can't guess from trailers). There are some scenes that are so tense ,well-acted and imaginative that push this movie to 10. Cinematography and direction are great, Todd has proven himself as a director. Robert is also good in his ""small"" role. Will definitely see it again as soon as it out in October.","['i', 'watch', 'joker', 'venic', 'i', 'say', 'joaquin', 'doesnt', 'get', 'oscar', 'year', 'someth', 'wrong', 'world', 'thi', 'perfom', 'jawdrop', 'glue', 'screen', 'doesnt', 'let', 'go', 'till', 'end', 'stori', 'good', 'interest', 'connect', 'batman', 'loreespeci', 'one', 'cant', 'guess', 'trailer', 'there', 'scene', 'ten', 'wellact', 'imagin', 'push', 'movi', 'cinematographi', 'direct', 'great', 'todd', 'proven', 'director', 'robert', 'also', 'good', 'small', 'role', 'will', 'definit', 'see', 'soon', 'octob']",positive
11," Finally, a REAL movie
","This movie causes the audience to consider many topics on morality, particularly the poor choices made by the Joker. The Joker is more relatable in this movie than antagonists usually are. I think this gives a more realistic view of ""bad"" people, who are not usually 100% bad in all ways as society often judges. It is important to know when to sympathize with the Joker (towards the beginning of the movie), and when he needs to be identified as a threat (when he begins making certain bad choices). This movie is only suitable for adults who are willing to pick it apart and think critically about it. It isn't for light amusement. That substance is what makes it so good.If you aren't able to ponder underlying themes on your own, and you have to be handed all your thoughts to you, then this isn't the best movie for you.","['thi', 'movi', 'caus', 'audienc', 'consid', 'mani', 'topic', 'moral', 'particularli', 'poor', 'choic', 'made', 'joker', 'the', 'joker', 'relat', 'movi', 'antagonist', 'usual', 'i', 'think', 'give', 'realist', 'view', 'bad', 'peopl', 'usual', 'bad', 'way', 'societi', 'often', 'judg', 'it', 'import', 'know', 'sympath', 'joker', 'toward', 'begin', 'movi', 'need', 'identifi', 'threat', 'begin', 'make', 'certain', 'bad', 'choic', 'thi', 'movi', 'suitabl', 'adult', 'will', 'pick', 'apart', 'think', 'critic', 'it', 'isnt', 'light', 'amus', 'that', 'substanc', 'make', 'goodif', 'arent', 'abl', 'ponder', 'underli', 'theme', 'hand', 'thought', 'isnt', 'best', 'movi']",neutral
12," Good lord
","The acting, cinematography, sound design, and the script itself is phenomenal. This movie is a triumph. Joaquin Pheonix deserves an Oscar win for this tbh.","['the', 'act', 'cinematographi', 'sound', 'design', 'script', 'phenomen', 'thi', 'movi', 'triumph', 'joaquin', 'pheonix', 'deserv', 'oscar', 'win', 'tbh']",positive
13," Not a spoon feeding of CGI fueled faux drama.
","The movie affects you in a way that makes it physically painful to experience, but in a good way.","['the', 'movi', 'affect', 'way', 'make', 'physic', 'pain', 'experi', 'good', 'way']",neutral
14," Great
","I'm speechless. This is one of my favorite movies , and it's the best. Joaquin Phoenix gives one of the best performances I've ever seen. Yes, I think he should absolutely win an Oscar for his portrayal as the iconic character. Heath Ledger is still my favorite Joker, but Joaquin is pretty close to the level of Ledger. Todd Phillips did a phenomenal job directing, I think this is his best work to date. Robert De Niro is not given much screen time, but he takes advantage of the time he's given, and he shines. The costume design and makeup is great as well, and I think it should be nominated for a major award. The script is incredible, I'm going to be quoting a lot of the lines for days. The violence in this movie was not even that bad, compared to other films that have had this amount of controversy. I would like to take a minute and say, that films and other media do not cause violence, this is not a ""dangerous film."" The last thirty minutes of this movie are absolutely insane, I won't be able to forget them. The death scene on the Murray Franklin Show, is absolutely crazy, and I did not see it coming. Despite the fact that Arthur Fleck (Joker) is a mass murderer, I couldn't help but feel bad for his character at times. I didn't forgive him for the things he did, but at the same time, I did sympathize with him. I really liked the progression of Arthur's character. You see him slowly growing more and more insane as the seconds go by. The runtime was perfect it never felt boring. I loved this movie, and there's so much more I want to talk about.","['im', 'speechless', 'thi', 'one', 'favorit', 'movi', 'best', 'joaquin', 'phoenix', 'give', 'one', 'best', 'perform', 'ive', 'ever', 'seen', 'ye', 'i', 'think', 'absolut', 'win', 'oscar', 'portray', 'icon', 'charact', 'heath', 'ledger', 'still', 'favorit', 'joker', 'joaquin', 'pretti', 'close', 'level', 'ledger', 'todd', 'phillip', 'phenomen', 'job', 'direct', 'i', 'think', 'best', 'work', 'date', 'robert', 'de', 'niro', 'given', 'much', 'screen', 'time', 'take', 'advantag', 'time', 'he', 'given', 'shine', 'the', 'costum', 'design', 'makeup', 'great', 'well', 'i', 'think', 'nomin', 'major', 'award', 'the', 'script', 'incred', 'im', 'go', 'quot', 'lot', 'line', 'day', 'the', 'violenc', 'movi', 'even', 'bad', 'compar', 'film', 'amount', 'controversi', 'i', 'would', 'like', 'take', 'minut', 'say', 'film', 'medium', 'caus', 'violenc', 'danger', 'film', 'the', 'last', 'thirti', 'minut', 'movi', 'absolut', 'insan', 'i', 'wont', 'abl', 'forget', 'the', 'death', 'scene', 'murray', 'franklin', 'show', 'absolut', 'crazi', 'i', 'see', 'come', 'despit', 'fact', 'arthur', 'fleck', 'joker', 'mass', 'murder', 'i', 'couldnt', 'help', 'feel', 'bad', 'charact', 'time', 'i', 'didnt', 'forgiv', 'thing', 'time', 'i', 'sympath', 'i', 'realli', 'like', 'progress', 'arthur', 'charact', 'you', 'see', 'slowli', 'grow', 'insan', 'second', 'go', 'the', 'runtim', 'perfect', 'never', 'felt', 'bore', 'i', 'love', 'movi', 'there', 'much', 'i', 'want', 'talk']",positive
15," Oscar for Phoenix
",I will stop watching movies if Joaquin Phoenix is not awarded Oscar for his tremendous acting.,"['i', 'stop', 'watch', 'movi', 'joaquin', 'phoenix', 'award', 'oscar', 'tremend', 'act']",negative
16," Critics are useless!
","I quit relying on critic reviews years ago... I noticed for this movie that the critics ratings were low but viewer ratings were high. That being said, what is the point of a critic when for this movie, they are oh so wrong.
I went and saw this tonite with my mom. I went in skeptical and w some what low expectations. I knew not to expect your typical super hero movie.
What we got was a masterpiece. I went in expecting sheer boredom and I was instead on the edge of my seat the whole time. Not action edge of your seat, it was a fear of what he may do or say next edge of your seat. To see this character evolve into what we all know as the #1 villain of Batman was beyond genius and Joaquin Phoenix is a true master at perfecting the art of consuming himself into this character. I may be all over the place with this but I don't care. This movie, the story, the acting, directing, effects, everyone brought their A game and JP definitely deserves a nod and win for this role. And no, there is no comparison here to Jack Nicholson or Heath Ledger. Each actor took on this character and different levels, different story points and different points in time, so any comparison would just not be feasible or fair to any of the actors as they embraced him and made him come to life in their own genius way!","['i', 'quit', 'reli', 'critic', 'review', 'year', 'ago', 'i', 'notic', 'movi', 'critic', 'rate', 'low', 'viewer', 'rate', 'high', 'that', 'said', 'point', 'critic', 'movi', 'oh', 'wrong', 'i', 'went', 'saw', 'tonit', 'mom', 'i', 'went', 'skeptic', 'w', 'low', 'expect', 'i', 'knew', 'expect', 'typic', 'super', 'hero', 'movi', 'what', 'got', 'masterpiec', 'i', 'went', 'expect', 'sheer', 'boredom', 'i', 'instead', 'edg', 'seat', 'whole', 'time', 'not', 'action', 'edg', 'seat', 'fear', 'may', 'say', 'next', 'edg', 'seat', 'to', 'see', 'charact', 'evolv', 'know', 'villain', 'batman', 'beyond', 'geniu', 'joaquin', 'phoenix', 'true', 'master', 'perfect', 'art', 'consum', 'charact', 'i', 'may', 'place', 'i', 'dont', 'care', 'thi', 'movi', 'stori', 'act', 'direct', 'effect', 'everyon', 'brought', 'a', 'game', 'jp', 'definit', 'deserv', 'nod', 'win', 'role', 'and', 'comparison', 'jack', 'nicholson', 'heath', 'ledger', 'each', 'actor', 'took', 'charact', 'differ', 'level', 'differ', 'stori', 'point', 'differ', 'point', 'time', 'comparison', 'would', 'feasibl', 'fair', 'actor', 'embrac', 'made', 'come', 'life', 'geniu', 'way']",negative
17," Joker > Endgame
","Need I say more? Everything about this Movie is Masterful in every single way! Joker isn't just an awesome comic book movie, it's an awesome movie, period. It offers no easy answers to the unsettling questions it raises about a cruel society in decline. Joaquin Phoenix's fully committed performance and Todd Phillips' masterful albeit loose reinvention of the DC source material make Joker a film that should leave comic book fans and non-fans alike disturbed and moved in all the right ways.","['need', 'i', 'say', 'everyth', 'movi', 'master', 'everi', 'singl', 'way', 'joker', 'isnt', 'awesom', 'comic', 'book', 'movi', 'awesom', 'movi', 'period', 'it', 'offer', 'easi', 'answer', 'unsettl', 'question', 'rais', 'cruel', 'societi', 'declin', 'joaquin', 'phoenix', 'fulli', 'commit', 'perform', 'todd', 'phillip', 'master', 'albeit', 'loo', 'reinvent', 'dc', 'sourc', 'materi', 'make', 'joker', 'film', 'leav', 'comic', 'book', 'fan', 'nonfan', 'alik', 'disturb', 'move', 'right', 'way']",positive
18," A Represintation of a Real Life Joker.
","This movie answers this question...what will the Joker be if he was a real life character ? A great deep and moving story, a life journey of a man who's suffering from some psychological issues and how neglect, bullying and rudeness by other human being can push a man to complete madness.Although it's not accurate to any comic book adaptation or any TV series or movie before it, yet it's a fresh and unique take on the character of the clown prince of crime from a realistic approach and I believe with Joaquin Phoenix amazing performance as the Joker in which he managed to bring a real life look-alike early version of the Joker which although is not comic book accurate but I feel it's a very decent foundation for Joker 2 which should be more true to heart of the original version of our lovable villain.The movie is over all a great piece of filmmaking in all of its aspects. From the plot which was very interesting, believable and many can relate to it, through the acting which was impressively splendid to the directing which was outstanding. My main take on the movie is the lack of any positive lead character, I know we live in a tough world which full of negativity but there are some positive examples here and there and to shed some light on one or two characters in this movie would've been a nice positive thought.The Joker movie can be misunderstood by many thinking it'll inspire crime and violence but I believe on the contrary that many who go through hard life will feel sympathy for the Joker character, others will even relate to his misery and may justify his actions. I believe the movie is meant to be a wake up call for many! A lot of people daily suffer from bullying, racism, hate crimes or neglect and sometimes they go through worse, we should take a deeper look at our actions and know that - aside from money and authority - we are all equally humans, we should treat one another the same way we expect to be treated.","['thi', 'movi', 'answer', 'questionwhat', 'joker', 'real', 'life', 'charact', 'a', 'great', 'deep', 'move', 'stori', 'life', 'journey', 'man', 'who', 'suffer', 'psycholog', 'issu', 'neglect', 'bulli', 'rude', 'human', 'push', 'man', 'complet', 'madnessalthough', 'accur', 'comic', 'book', 'adapt', 'tv', 'seri', 'movi', 'yet', 'fresh', 'uniqu', 'take', 'charact', 'clown', 'princ', 'crime', 'realist', 'approach', 'i', 'believ', 'joaquin', 'phoenix', 'amaz', 'perform', 'joker', 'manag', 'bring', 'real', 'life', 'lookalik', 'earli', 'version', 'joker', 'although', 'comic', 'book', 'accur', 'i', 'feel', 'decent', 'foundat', 'joker', 'true', 'heart', 'origin', 'version', 'lovabl', 'villainth', 'movi', 'great', 'piec', 'filmmak', 'aspect', 'from', 'plot', 'interest', 'believ', 'mani', 'relat', 'act', 'impress', 'splendid', 'direct', 'outstand', 'my', 'main', 'take', 'movi', 'lack', 'posit', 'lead', 'charact', 'i', 'know', 'live', 'tough', 'world', 'full', 'neg', 'posit', 'exampl', 'shed', 'light', 'one', 'two', 'charact', 'movi', 'wouldv', 'nice', 'posit', 'thoughtth', 'joker', 'movi', 'misunderstood', 'mani', 'think', 'itll', 'inspir', 'crime', 'violenc', 'i', 'believ', 'contrari', 'mani', 'go', 'hard', 'life', 'feel', 'sympathi', 'joker', 'charact', 'other', 'even', 'relat', 'miseri', 'may', 'justifi', 'action', 'i', 'believ', 'movi', 'meant', 'wake', 'call', 'mani', 'a', 'lot', 'peopl', 'daili', 'suffer', 'bulli', 'racism', 'hate', 'crime', 'neglect', 'sometim', 'go', 'wors', 'take', 'deeper', 'look', 'action', 'know', 'asid', 'money', 'author', 'equal', 'human', 'treat', 'one', 'anoth', 'way', 'expect', 'treat']",neutral
19," I would not call it a masterpiece as some did
","There is no doubt that the movie was well thought of - from the plot to execution. I must praise Phoenix's superb acting. He managed to portray very believably the awkward social reject and also the crazy murderer that he became. I really think it's a role only few could do. It was also very interesting to watch how he deteriorated mentally and little by little gave up on trying to fit into society. Gotta hand it to the script writer - the plot was unpredictable.But...There wasn't anything too complex about Arthur's mental state. No deep psychological analysis, or a web of many deep factors that created a one of a kind psychotic maniac. Could it be that I was expecting too much? Very possible since I came with very high expectations after reading some reviews.
What doesn't have anything with expectations is that at the end he didn't remind much of the original Joker. He felt more like a simply society reject that went completely crazy and started killing people. Not that much different from many other serial killers or mass murderers. He didn't have the master mind that so much designated the Joker and made him different from a simple murderer.
Another thing is that there were long parts of the movie that felt very dull.
Also I found it hard to buy the reason behind the riots in the city and the role the Joker played in them. Even if taken into account that the poverty and anger was cooking for a long time in that society, it still feels somewhat absurd that killing three people in the subway made the joker so notorious.
In conclusion, I can identify with the character which gave me a lasting impression of the movie, and this movie could have been very great if it was a movie about how a person that's rejected by society turns slowly into a serial killer. But as a movie about the Joker I felt it was lacking. Lacking the things that made the Joker actually the Joker, and not just another crazy murderer.","['there', 'doubt', 'movi', 'well', 'thought', 'plot', 'execut', 'i', 'must', 'prais', 'phoenix', 'superb', 'act', 'he', 'manag', 'portray', 'believ', 'awkward', 'social', 'reject', 'also', 'crazi', 'murder', 'becam', 'i', 'realli', 'think', 'role', 'could', 'it', 'also', 'interest', 'watch', 'deterior', 'mental', 'littl', 'littl', 'gave', 'tri', 'fit', 'societi', 'got', 'ta', 'hand', 'script', 'writer', 'plot', 'unpredictablebutther', 'wasnt', 'anyth', 'complex', 'arthur', 'mental', 'state', 'no', 'deep', 'psycholog', 'analysi', 'web', 'mani', 'deep', 'factor', 'creat', 'one', 'kind', 'psychot', 'maniac', 'could', 'i', 'expect', 'much', 'veri', 'possibl', 'sinc', 'i', 'came', 'high', 'expect', 'read', 'review', 'what', 'doesnt', 'anyth', 'expect', 'end', 'didnt', 'remind', 'much', 'origin', 'joker', 'he', 'felt', 'like', 'simpli', 'societi', 'reject', 'went', 'complet', 'crazi', 'start', 'kill', 'peopl', 'not', 'much', 'differ', 'mani', 'serial', 'killer', 'mass', 'murder', 'he', 'didnt', 'master', 'mind', 'much', 'design', 'joker', 'made', 'differ', 'simpl', 'murder', 'anoth', 'thing', 'long', 'part', 'movi', 'felt', 'dull', 'also', 'i', 'found', 'hard', 'buy', 'reason', 'behind', 'riot', 'citi', 'role', 'joker', 'play', 'even', 'taken', 'account', 'poverti', 'anger', 'cook', 'long', 'time', 'societi', 'still', 'feel', 'somewhat', 'absurd', 'kill', 'three', 'peopl', 'subway', 'made', 'joker', 'notori', 'in', 'conclus', 'i', 'identifi', 'charact', 'gave', 'last', 'impress', 'movi', 'movi', 'could', 'great', 'movi', 'person', 'that', 'reject', 'societi', 'turn', 'slowli', 'serial', 'killer', 'but', 'movi', 'joker', 'i', 'felt', 'lack', 'lack', 'thing', 'made', 'joker', 'actual', 'joker', 'anoth', 'crazi', 'murder']",positive
